Model,Member,Var,Season,Stat,value,Rank
EC-Earth3-Veg,r3i1p1f1,pr,JJA,BIAS,-1.2,NA
EC-Earth3-Veg,r3i1p1f1,pr,SON,RMSE,4.9,NA
EC-Earth3-Veg,r3i1p1f1,pr,SON,BIAS,1.3,NA
EC-Earth3-Veg,r4i1p1f1,pr,DJF,RMSE,3.6,NA
EC-Earth3-Veg,r4i1p1f1,pr,DJF,BIAS,-0.4,NA
EC-Earth3-Veg,r4i1p1f1,pr,MAM,RMSE,4.5,NA
EC-Earth3-Veg,r4i1p1f1,pr,MAM,BIAS,-1.1,NA
EC-Earth3-Veg,r4i1p1f1,pr,JJA,RMSE,6.9,NA
EC-Earth3-Veg,r4i1p1f1,pr,JJA,BIAS,0.7,NA
EC-Earth3-Veg,r4i1p1f1,pr,SON,RMSE,5.6,NA
EC-Earth3-Veg,r4i1p1f1,pr,SON,BIAS,1.3,NA
EC-Earth3-Veg,r5i1p1f1,pr,DJF,RMSE,3.7,NA
EC-Earth3-Veg,r5i1p1f1,pr,DJF,BIAS,-0.5,NA
EC-Earth3-Veg,r5i1p1f1,pr,MAM,RMSE,4.1,NA
EC-Earth3-Veg,r5i1p1f1,pr,MAM,BIAS,-0.5,NA
EC-Earth3-Veg,r5i1p1f1,pr,JJA,RMSE,7.4,NA
EC-Earth3-Veg,r5i1p1f1,pr,JJA,BIAS,-2.6,NA
EC-Earth3-Veg,r5i1p1f1,pr,SON,RMSE,5.4,NA
EC-Earth3-Veg,r5i1p1f1,pr,SON,BIAS,2.3,NA
FGOALS-g3,r1i1p1f1,pr,DJF,RMSE,3.8,NA
FGOALS-g3,r1i1p1f1,pr,DJF,BIAS,-0.5,NA
FGOALS-g3,r1i1p1f1,pr,MAM,RMSE,5.5,NA
FGOALS-g3,r1i1p1f1,pr,MAM,BIAS,-0.5,NA
FGOALS-g3,r1i1p1f1,pr,JJA,RMSE,5.6,NA
FGOALS-g3,r1i1p1f1,pr,JJA,BIAS,-0.9,NA
