Model,Member,Var,Season,RMSE,BIAS,Both
HadGEM3-GC31-LL,r1i1p1f3,pr,DJF,4.1,1,4.220189569201838
HadGEM3-GC31-LL,r1i1p1f3,pr,MAM,4.9,-0.7,4.949747468305833
HadGEM3-GC31-LL,r1i1p1f3,pr,JJA,7.4,-2.5,7.810889834071404
HadGEM3-GC31-LL,r1i1p1f3,pr,SON,4.9,1.2,5.044799302251776
HadGEM3-GC31-LL,r2i1p1f3,pr,DJF,4.1,-0.1,4.1012193308819755
HadGEM3-GC31-LL,r2i1p1f3,pr,MAM,4.7,0.5,4.72652091923859
HadGEM3-GC31-LL,r2i1p1f3,pr,JJA,7.4,-2.5,7.810889834071404
HadGEM3-GC31-LL,r2i1p1f3,pr,SON,5.3,0.7,5.346026561849464
HadGEM3-GC31-LL,r3i1p1f3,pr,DJF,3.7,-1,3.83275357934736
HadGEM3-GC31-LL,r3i1p1f3,pr,MAM,4.6,-0.5,4.62709412050371
HadGEM3-GC31-LL,r3i1p1f3,pr,JJA,6.3,1.9,6.58027355054484
HadGEM3-GC31-LL,r3i1p1f3,pr,SON,4.7,-0.9,4.78539444560216
HadGEM3-GC31-MM,r1i1p1f3,pr,DJF,3.9,-2.2,4.4777226354476225
HadGEM3-GC31-MM,r1i1p1f3,pr,MAM,3.8,0.1,3.8013155617496426
HadGEM3-GC31-MM,r1i1p1f3,pr,JJA,6.8,-1.6,6.985699678629192
HadGEM3-GC31-MM,r1i1p1f3,pr,SON,4.7,-1,4.805205510693586
HadGEM3-GC31-MM,r2i1p1f3,pr,DJF,4,1.4,4.237924020083418
HadGEM3-GC31-MM,r2i1p1f3,pr,MAM,4.2,-1,4.317406628984581
HadGEM3-GC31-MM,r2i1p1f3,pr,JJA,5.9,0,5.9
HadGEM3-GC31-MM,r2i1p1f3,pr,SON,4.6,1.4,4.808326112068523
INM-CM4-8,r1i1p1f1,pr,DJF,2.4,-0.5,2.4515301344262523
INM-CM4-8,r1i1p1f1,pr,MAM,3.1,-0.3,3.1144823004794877
INM-CM4-8,r1i1p1f1,pr,JJA,5.3,-0.4,5.315072906367325
INM-CM4-8,r1i1p1f1,pr,SON,2.9,0.1,2.9017236257093817
